Index,Term,Definition
1,a'abang,Type of plant--eugenia reinwardtiana (Beach Cherry). A hardwood tree formerly used to make bullcarts.
2,a'adahi,Protector; guard; caretaker; body guard.
3,a'adda',Mimicker; imitator; mocker.
4,a'addak,noun. Knocker; person who knocks; pounder.
5,a'aga,Type of fish-family labridae (Wrasses).
6,a'akonseha,Adviser; counselor.
7,a'amte,Physician; doctor; nurse; surgeon; healer.
8,a'aposta,Gambler--one who bets or wagers.
9,a'arekla,Fixer--one who fixes; repairman; arranger
10,a'atte,Magician; wizard; sorcerer; trickster; clairvoyant; sleigh-of-hand artist.
11,a'ayuda,Helper; collaborateor; aid; assistant.
12,a'ba'ba',Feeble-minded; stupid; crazy.
13,a'duko',Imbecile; idiot; idiotic; moron.
14,a'gang,Loud; noise; booming; resounding.
15,a'go,Change; shift; substitute; exchange.
16,a'kalaye',Hang; suspend.
17,a'kalaye',To lower; to let down.
18,a'långa',Gape; open mouth wide.
19,a'långa',Crazy (slang).
20,a'ok,"Wedding gift, of the bridegroom to the bride."
21,a'pe',"noun. harelip; congenitally divided lips, like that of a hare, or this deformity."
22,a-,"Reciprocal marker, do (something) to each other - prefix. May be affixed to verbs. (when attached it forces the stress to fall on the a-) "
23,ababang,noun. 1) Butterfly (insect) 2) Butterfly fish - type of fish ornamented with black and yellow stripes. Also guihan ababang 'butterfly fish.' Refers to many small fish of the families zanclidae and chaetodontidae.
24,ababang amariyu,Type of fish--chaetodon auriga (Threadfin Butterflyfish); Yellow butterfly.
25,ababang gupalao,Type of fish--family zanclidae; Moorish idols
26,ababang kåhet,Type of insect--papilio xuthus. Asian swallowtail; Chinese yellow swallowtail; Xuthus swallowtail.
27,abak,Lost; gone astray. 
28,abåle',Intercourse.
29,abandona,Abandon; relinquish; evacuate; leave behind; forsake; desert.
30,abandonao,Abandoned; left; forsaken; left alone.
31,abok,Friend; buddy; pal; mate.
32,abuni,Food sac--esp. in crustacean family; fleshy part of crustaceans; testicle (slang); brain (slang).
33,acha,"Pound; beat; as pounding roots, etc."
34,acha'igi,Compete; contend.
35,acha'ikak,Race; run; to compete at high speed.
36,acha'ikak,Plunge down; to be precipitated; tumble; tilt; rush; to move or press forward with impetuousity; to enter with undue eagerness.
37,acha'ikak,Turn over; throw headlong.
38,acha'ungak,Balance; make equal weights.
39,acha-,As--as indicating equality (prefix); similative affix.
40,achagigu,"adjective. At the same time; simultaneously, occurred simultaneously."
41,achago',noun. distance. adjective. to be equally distant.
42,achågo'ña,Farther; more distant.
43,achaguasguas,Peer; equal.
44,achakma',Having an affair; shacking up; common-law marriage; having a mistress.
45,achamcham,Jawbone (lower); jaw; the lower or nether jaw.
46,achataotao,Peer; equal in age and status; people.
47,achatatan,Enemy; foe; opponent.
48,achatli'e',Enemy; foe; opponent.
49,achok,At least.
50,achokka',Although; even though; not even.
51,achom,Sneeze.
52,ada,adverb. used to introduce why something cannot be the reason for a situation or someone's behavior.
53,ada lao,But; have decided not to; change of mind; change of decision; maybe not; but that's all right. (Rota)
54,adahi,What do you know (exclamation).
55,adahi,Guard; protect; take care of; collect and lay up. 
56,adahi,Careful; watch out; look out; beware.
57,adalak,Reciprocal system of work exchange.
58,adaose,Piled up; stacked on top of one another; intertwined.
59,adda',Mimick; ridicule (by imitating); copy; imitate closely. Mimickry
60,addeng,Foot--human; feet; leg. Sole of foot.
61,addet,Severe; strict; austere; rigid.
62,adespåtta,"Disconnect, separate; break away."
63,adibina,verb. guess; predict; prophesy; foretell.
64,adibina,noun. riddle.
65,adingan,Converse; talk; speak; utter.
66,adingani,Speak to; talk to.
67,adinganiyi,Intercede; speak in favor of someone.
68,adingu,Departure; separation; leave behind.
69,ado',Type of seaweed--very popular as an edible plant.
70,adotse,"Type of berry, grows on a bush."
71,adu,Peep; peek at; keep a watch on.
72,afa'fa',noun. armpit; crotch.
73,afa'fa'i,verb. to carry -- under the armpit.
74,afa'maolek,To be good to one another; collaborate; form a group; help out; cooperate with; be friends.
75,afagao,adjective. hoarse (of voice); husky voice; harsh voice.
76,afåna',Face (each other); confront (one another).
77,affulo',Wrestling; wrestle.
78,aga',Banana (ripe).
79,aga' guahu,"Kind of banana--similar to Taiwan banana, but smaller tree."
80,agaga',Red (color).
81,agaga' chåda',Egg yolk.
82,agapa',Right (direction); opposite from left.
83,agapa' fafayiña,Right-handed.
84,agi,Liquor; a local distilled liquor made from fermented fruit.
85,ago'te,Embrace each other; shake hands; hold hands.
86,agode,Cross legs; cross arms; cross one thing over another.
87,agofli'e',Friend; pal; partner.
88,agogguiyi,Assail; attack; to fall upon (applies especially to an attack of many upon one).
89,agon,"Really, are you sure? Used when addressing speaker to verify information on a statement just made."
90,agon-,"prefix meaning ""again"", to indicate repetition, same as English prefix re-.
Alternative form: hagon-"
91,agonta'lo,Repeat; do (something) again; again.
92,agua',Step over; jump over; skip; omit.
93,aguaiya,Amour; love affair.
94,ai,Oh (interjection); ouch; wow.
95,aiai,Grieve; lament; bemoan.
96,aidentifika,Identify.
97,aidentifikasion,Identification.
98,aire,Ventilate; air out.
99,aire,Air; wind.
100,aironaota,Aeronaut; pilot.
101,airoso,Delicate; admirable; lively; vivacious; elegant.
102,ais,Ice.
103,ais båks,Ice box; refriderator
104,aislådo,Isolated; solitary; secluded; off-lying; remote; lonesome.
105,akacha,Troublesome; troublemaker; teaser
106,akachayi,Tease; harass; vex; irritate by petty requests; deceive; defraud; cheat; dupe.
107,akague,Left (direction); oppostie from right.
108,akague fafayiña,Left-handed.
109,akankang,Type of vine--creeper. A twining vine used for herb medicine. Usually grows near beach area.
110,akankang,Molar tooth
111,akankang dånkolo,Type of plant--stizolobium.
112,akankang kalaton,Type of plant--phaseolus sp. Sea bean.
113,akankang malulasa,Alternate form of akankang manulasa.
114,akankang manulusa,Type of plant--vigna marina. Beach pea.
115,akankang tåsi,Type of plant--canavalia rosea.
116,akda',Mimicker; imitator.
117,akkaga,Miss; daughter; girl; expression used by older people when addressing a young female.
118,akkamo',Marriage; married
119,akmangao,Type of crab--scylla serrata (Fortunidae). Mangrove crab.
120,akomosinao,Boss; master; foreman.
121,akong,Scorched; dirt; dirty; filthy; soiled with dirt.
122,akta,Actor.
123,ala,O'clock; of the clock; particle used in telling time for one o'clock.
124,alåhas,"noun. jewelry; rings, necklaces, earrings, etc."
125,alalak,Type of plant--ipomoea tiliaefolia. Beach morning glory.
126,alalak tåsi,Type of plant--ipomoea pes-caprae. Morning glory--with pink flowers.
