0,1,2,3,4,5
Atungo' na dos. ,Know each other or be acquainted with each other,,,,
 Aguaiya na dos. ,Love each other,,,,
 Afa'na'gue na dos. ,Teach each other,,,,
 A'a' fan. ,Open your mouth please,,,,
 Abak i taotao. ,The man is lost,,,,
 Abak chalan-ña. ,He took the wrong road,,,,
 Ha abirigua i patgon. ,He interrogated the child,,,,
 Manmanggagagao abiu i taotao Luta. ,The people of Rota are asking  for help,,,,
 Ha abrasu i patgon-ña. ,She embraced her child,,,,
 I abrasu-hu ni palao'an apmam-ña kinu i abrasu-mu ni patgon. ,My  embrace of the woman was longer than your embrace of the child,,,,
 Umaburidu i taotao gi halom guma'. ,The man made a noise in the  house,,,,
 Achabrabu ham na dos. ,We are both healthy,,,,
 Achayayas si Juan yan si Jose gi bola. ,John is as tired as  Joseph in the ball game,,,,
 Achagigu hit humanao asta Guam. ,We left for Guam simultaneously,,,,
 Achagigu hit maigo'. ,We went to sleep at the same time,,,,
 Mandaña' ham yan i manachahet-hu. ,"We got together, my peers and  I",,,,
 Umacha'igi i dos umamigu. ,The two friends competed,,,,
 Ti achaigua-mu yo'. ,You are not my equal,,,,
 Achaigua-ña i amiga-ña. ,She is similar to her friend,,,,
 Este na lepblo achaiguan ayu. ,This book is like that one,,,,
 I lahi ha achaka i ga'lagu. ,The man blamed the dog,,,,
 Si Juan gai achaki gi ega'an. ,Juan had some trouble this morning,,,,
 Mapribi umachakma' gi relihon Katoliku. ,It is prohibited by the  Catholic religion to keep a mistress,,,,
 I lahi ha achetge i palao'an. ,The man winked at the girl,,,,
 Achigo'. ,Close your eyes,,,,
 Ti mangganna yo' lao achok i amigu-hu. ,"I didn't win but, at  least, my friend did",,,,
 Hanao para i lancho achokka' malangu hao. ,Go to the farm even  though you are sick,,,,
 Achokka' si Maria ti kumonfotme fatto ha' magi. ,"Although Maria  doesn't agree , just come here",,,,
 Umachom si Pedro. ,Pete sneezed,,,,
" Ada, un espiha yo' nigap? ","Oh, you searched for me yesterday?",,,,
 Hu adanggua' i fache'. ,I stepped over the mud puddle,,,,
 Ha na'fanadaose gi hilo' i recorder. ,He piled them up on the  recorder,,,,
 Ha adapta i patgon. ,She adopted the child,,,,
 In adapta ham gi kleman Hawaii. ,We adapted to the climate in  Hawaii,,,,
 Ha adda' i haohao ga'lagu. ,He mimicked the barking of the dog,,,,
 Ha adda' i sinangan-ña. ,He ridiculed his speech,,,,
 Ha addak i ilu-hu ni baston-ña. ,He rapped my head with his cane,,,,
 Addet i minahalang-ña. ,His loneliness was severe,,,,
 Hu na'adespatta i alamle. ,I separated the wires,,,,
 Adilanta i tiningo'-mu. ,Improve your knowledge,,,,
 Adimas ki un hugando maolek-ña na un fanestudia. ,"Rather than  playing, it is better that you study",,,,
 Umadingan yo' yan i ma'gas. ,I conversed with the boss,,,,
 Malago' yo' na un adingan. ,I want you to talk,,,,
 Hu adingani i ma'estro. ,I talked to the teacher,,,,
 Umadingu si Juan yan si Jose. ,Juan and Jose went separate ways,,,,
 Umadotgan i hilu esta i otro banda. ,The thread went through to  the other side,,,,
 Hu adu i patgon gi bentana. ,I peeped at the child through the  window,,,,
 Sigi ha' manhanao adumidide' i taotao siha gi miteng. ,The people  continued to leave the meeting a few at a time,,,,
 Ha afa'fa'i i lepblo. ,He carried the book under his armpit,,,,
 Umafa'maolek hit. ,We became friends--we cooperated,,,,
 Manafa'maolek i ma$ne'lu-hu siha. ,My brothers and sisters helped  each other,,,,
 Hafa afanatungo'. ,"Hello, friends",,,,
" Afangga'chong, nihi ta fanhanao. ","Let's go, friends",,,,
 Maila' ta afana'. ,Let's face each other,,,,
" Afa$ne'los, ayuda yo'. ","Comrades, help me",,,,
 Hu a'fe i kannai-hu. ,I use a sling for my arm,,,,
 Malingu i a'fe-ku. ,I lost my sling,,,,
 Ti ha afekta yo' i fino'-mu. ,Your talk didn't affect me,,,,
 Ya-hu umegga' affulo'. ,I like to watch wrestling,,,,
 Ha afloha i tali. ,He slackened the rope,,,,
 Hu na'ye afok i mai'es. ,I put lime on the corn,,,,
 Hu afte i gima'-hu. ,I roofed my house,,,,
 Hu afuetsas i taotao na u funhayan i che'cho'-ña. ,I forced the  man to finish his work,,,,
 Hu afuki i pigua'. ,I put lime on the betel nut,,,,
 Hu afuyot i patgon ni sabanas. ,I wrapped the baby in the blanket,,,,
 Ma'afuyot i guihan ni titiyas. ,The fish was wrapped in the  tortilla,,,,
 Hu afuyot i hineksa' ni kannai-hu. ,I made a rice-ball with my  hands,,,,
 Hu afuyot i kesu ni pan. ,I sandwiched the cheese with the bread,,,,
 Ha agang yo' si nana. ,Mother called me,,,,
 A'gang dimasiao i batkon aire. ,The plane is too loud,,,,
 Hu agangi i asagua-hu. ,I invited my wife,,,,
 Si Josepha ha agangñaihon yo'. ,Josepha spread gossip about me,,,,
 Agapa' na kannai. ,Right hand,,,,
 Chule' i agapa' na direksion gi adinga' chalan. ,Take the right  direction of the road at the intersection,,,,
 Ha agagara gue' ni iyon taotao. ,He claimed another person's  property,,,,
 Hu a'go i sabanas gi katre. ,I changed the blanket on the bed,,,,
 Manggos suette hamyo agon. ,You all are really fortunate,,,,
 Agonchule'. ,"Recover, regain, etc",,,,
 Agonestablesi. ,Re-establish,,,,
 Agonfatto. ,Come back again,,,,
 Agonta'lo kumanta i kanta-mu. ,Repeat singing your song,,,,
 Umago'te i dos. ,They held hands,,,,
 Agua bendita. ,Holy water,,,,
 Nuestra Se$nora de las Agua. ,Our Lady of the Water,,,,
 I atuli aguanon. ,The pudding became watery,,,,
 Hu aguguiyi si Pete as Maria. ,I took sides with Pete against  Maria,,,,
 Hu aguguiyi i patgon ni palao'an. ,I sided with the child against  the woman,,,,
 Nihi ta agululumi si Jose. ,Let's band together against Jose,,,,
 I taotao siha ma agululumi i guaka. ,The men grouped together to  catch the cow,,,,
 A'guyon este i biyas sinturon-hu. ,My belt buckle is changeable,,,,
 Akague na banda gi tataotao-mu. ,Left side of your body,,,,
 Akague gi filan tinanom. ,The row of plants on the extreme left,,,,
 Hu na'a'kalaye' i babui. ,I hung the pig up,,,,
 I kannai-hu umakaleng nigap. ,My hand twisted yesterday,,,,
 Akasu ma na'i yo' ni kareta bai hu espiha hao. ,"If they give me  the car, I will look for you",,,,
 Siempre madingu hao gi che'cho'-mu akidi un amomotsa fine'na.  ,You will be late for your work if you are going to eat your  breakfast first,,,,
 Akidi un na'funhayan tumaitai i lepblo-mu manana ha'. ,"It takes  you so long to finish reading your book, it will be morning",,,,
 Akidi un arekla i kareta-mu makpo' ha' i karera. ,It takes so  long to fix your car that the race will be over,,,,
" Akkaga, hanao asta i eskuela. ","Miss, go to school",,,,
 Hu aklara na magahet. ,I declared that it's true,,,,
 I akli'e' na taotao ha li'e' i submarine gi halom tasi. ,The  sharp sighted man saw the submarine in the sea,,,,
 Hu akompara i dos kareta. ,I compared the two cars,,,,
 Akong i hineksa'. ,The (cooked) rice is scorched,,,,
 Umaksidente si Juan gi chalan. ,John had an accident on the road,,,,
 Akudi hulo' i patgon gi tapbla. ,Assist the child up from the  floor,,,,
 Ha akusa na guahu chumule' i pan. ,He accused me of taking the  bread,,,,
 Ala una. ,One o'clock,,,,
 Alas dos. ,Two o'clock,,,,
 Hu alaba i patgon gi linachi-ña. ,I sided with the child in his  error,,,,
 Umalaisen ham yan i amigu-hu nigap. ,My friend and I failed to  meet each other yesterday,,,,
 Manalaisen siha. ,They missed each other,,,,
 Umalapat i dos fila. ,The two lines were parallel,,,,
 Alatga muna'i i guihan siha sa' bula. ,You give away lots of fish  because there are plenty of them,,,,
